CommentID,CommentDate,Platform,City,MealType,CustomerSegment,CustomerComment,FeedbackTopic,EngagementScore
COM-001,2026-03-06,TikTok,Ajax,Breakfast,Weekly User,"Prices are reasonable when there is a lunch promotion, but normal fees are high.",Pricing,12
COM-002,2026-03-09,X/Twitter,Oshawa,Salad,Student,Support kept sending copied messages and did not read my complaint about the missing Salad.,Customer_Service,19
COM-003,2026-03-12,Facebook,London,Breakfast,Office Worker,"The drink holder was weak, so the coffee spilled before it reached my office.",Packaging,26
COM-004,2026-03-15,Google Review,Whitby,Indian Food,Family,No one replied to my email for three days. This is not acceptable customer care.,Customer_Service,33
COM-005,2026-03-18,Instagram,London,Pasta,First-Time User,The service fee and delivery fee made my Pasta order too expensive in London. #FreshBite,Pricing,40
COM-006,2026-03-21,TikTok,Markham,Coffee,Weekly User,The Coffee tasted fresh and warm. FreshBite should keep this restaurant on the app! #FreshBite,Food_Quality,47
COM-007,2026-03-24,X/Twitter,Whitby,Breakfast,Student,"The drink holder was weak, so the coffee spilled before it reached my office.",Packaging,54
COM-008,2026-03-27,Facebook,Waterloo,Pizza,Office Worker,"The salad was okay, but the chicken was dry and needed more sauce.",Food_Quality,61
COM-009,2026-03-30,Google Review,Toronto,Pizza,Family,"FRESHBITE DELIVERED MY PIZZA ORDER TO TORONTO 25 MINUTES LATE, AND THE DRIVER COULD NOT FIND THE BUILDING. #FRESHBITE",Delivery,68
COM-010,2026-04-02,Instagram,Ajax,Indian Food,First-Time User,The FreshBite app froze when I tried to apply the SAVE10 coupon on Monday.,App_Experience,75
COM-011,2026-04-05,TikTok,Vaughan,Salad,Weekly User,"The delivery was fast today! My lunch arrived before 12:30 PM, and the driver was polite.",Delivery,82
COM-012,2026-04-08,X/Twitter,Oshawa,Coffee,Student,"I like the new search filter, but the app loads slowly after the latest update.",App_Experience,89
COM-013,2026-04-11,Facebook,Markham,Pizza,Office Worker,"Customer service answered my chat in two minutes and refunded the missing drink. Thank you, FreshBite!",Customer_Service,96
COM-014,2026-04-14,Google Review,Waterloo,Breakfast,Family,"Prices are reasonable when there is a lunch promotion, but normal fees are high.",Pricing,8
COM-015,2026-04-17,Instagram,Ajax,Burger,First-Time User,"Packaging was clean, sealed, and easy to recycle. Great job by FreshBite and the restaurant.",Packaging,15
COM-016,2026-04-20,TikTok,Vaughan,Coffee,Weekly User,"I like the new search filter, but the app loads slowly after the latest update.",App_Experience,22
COM-017,2026-04-23,X/Twitter,Ajax,Breakfast,Student,"Prices are reasonable when there is a lunch promotion, but normal fees are high.",Pricing,29
COM-018,2026-04-26,Facebook,Whitby,Breakfast,Office Worker,"The drink holder was weak, so the coffee spilled before it reached my office.",Packaging,36
COM-019,2026-04-29,Google Review,Toronto,Pizza,Family,"FreshBite delivered my Pizza order to Toronto 25 minutes late, and the driver could not find the building. #FreshBite",Delivery,43
COM-020,2026-05-02,Instagram,Ajax,Coffee,First-Time User,"I spoke with Maria from FreshBite support, and she solved the issue quickly.",Customer_Service,50
