Customer_ID,Age_Group,Region,Subscription_Type,Payment_Method,Delivery_Window,Membership_Length_Months,Monthly_Spend,Average_Order_Value,Orders_Last_3_Months,Delivery_Issues_Last_3_Months,Customer_Service_Tickets,Discount_Used,App_Engagement_Score,Satisfaction_Score,Churned
FB-1001,18-24,Toronto,Family,Credit Card,Evening,18,$267.23,$140.14,9,0,0,No,70,3,No
FB-1002,45-54,Toronto,Premium,Credit Card,Morning,7,$349.36,$179.20,10,1,1,No,14,3,Yes
FB-1003,35-44,Mississauga,Basic,Credit Card,Morning,4,$132.08,$25.00,6,0,0,Yes,46,3,No
FB-1004,35-44,Ajax,Basic,Credit Card,Afternoon,8,$80.71,$25.00,0,1,0,Yes,42,5,Yes
FB-1005,45-54,Markham,Family,Credit Card,Morning,21,$218.95,$31.10,1,0,0,No,88,3,No
FB-1006,25-34,Brampton,Basic,Credit Card,Evening,20,$83.36,$25.00,2,0,0,No,38,1,Yes
FB-1007,35-44,Mississauga,Basic,Credit Card,Morning,10,$182.36,$83.36,2,0,2,No,32,4,No
FB-1008,35-44,Toronto,Basic,Debit Card,Evening,5,$141.03,$44.71,11,0,0,No,67,5,No
FB-1009,25-34,Ajax,Family,Credit Card,Morning,9,$224.64,$120.72,7,0,0,No,54,4,No
FB-1010,45-54,Ajax,Family,Credit Card,Afternoon,10,$279.89,$48.45,10,1,0,No,93,4,No
FB-1011,25-34,Ajax,Basic,Credit Card,Morning,12,$166.56,$93.22,15,1,2,No,86,3,Yes
FB-1012,18-24,Oshawa,Basic,Apple Pay,Morning,24,$148.72,$25.00,0,1,1,Yes,38,4,Yes
FB-1013,18-24,Whitby,Basic,Apple Pay,Afternoon,3,$97.42,$28.84,0,0,0,Yes,66,4,No
FB-1014,25-34,Toronto,Basic,Debit Card,Afternoon,36,$140.47,$28.53,7,4,1,Yes,100,2,Yes
FB-1015,45-54,Markham,Basic,Debit Card,Evening,17,$129.48,$69.18,4,0,0,No,49,5,No
FB-1016,18-24,Markham,Premium,PayPal,Morning,9,$239.54,$66.72,12,0,0,No,59,3,No
FB-1017,18-24,Toronto,Family,Credit Card,Evening,25,$249.19,$78.17,6,0,2,No,44,4,Yes
FB-1018,25-34,Whitby,Family,Credit Card,Evening,24,$202.55,$65.29,13,0,1,Yes,71,3,No
FB-1019,25-34,Toronto,Family,Credit Card,Afternoon,32,$206.24,$58.15,5,0,1,Yes,25,1,Yes
FB-1020,25-34,Mississauga,Family,Credit Card,Evening,5,$146.60,$48.31,12,0,0,No,60,2,Yes
FB-1021,35-44,Oshawa,Basic,Credit Card,Evening,20,$109.26,$33.30,3,0,0,No,36,4,No
FB-1022,25-34,Toronto,Premium,PayPal,Evening,9,$395.75,$110.65,9,2,2,Yes,49,2,No
FB-1023,35-44,Toronto,Family,Credit Card,Morning,7,$232.04,$42.63,10,1,0,Yes,43,3,No
FB-1024,45-54,Toronto,Premium,PayPal,Evening,12,$164.73,$61.59,11,0,0,No,94,3,No
FB-1025,25-34,Toronto,Premium,PayPal,Afternoon,22,$287.97,$78.10,8,0,0,Yes,59,4,No
FB-1026,25-34,Whitby,Basic,Credit Card,Afternoon,3,$110.94,$68.17,0,0,0,No,72,2,Yes
FB-1027,45-54,Mississauga,Family,Credit Card,Morning,12,$173.91,$39.23,11,3,3,No,22,1,Yes
FB-1028,18-24,Oshawa,Family,Credit Card,Afternoon,22,$201.11,$40.15,9,0,5,Yes,40,1,No
FB-1029,55+,Toronto,Family,Credit Card,Morning,5,$185.93,$43.19,8,0,0,No,49,4,Yes
FB-1030,35-44,Brampton,Basic,Credit Card,Evening,4,$116.97,$55.55,8,1,0,No,65,3,No
FB-1031,35-44,Oshawa,Basic,PayPal,Evening,5,$84.37,$25.00,0,2,1,No,52,2,Yes
FB-1032,25-34,Brampton,Basic,Credit Card,Afternoon,22,$131.79,$25.00,7,0,0,Yes,56,5,No
